name,lat,lon
Bundesrepublik Deutschland,51.16766,10.42498
Hohndorf,50.611878999999995,12.135525999999999
Grünbach,48.698890000000006,9.842889999999999
Alt Ruppin,52.947222,12.849444
Buskow,52.867369999999994,12.81375
Krangen,52.985,12.854444
Stöffin,52.947222,12.849444
Temnitz,52.933333,12.666667
Lauterbach (Rügen),54.343132,13.500345000000001
Muglitz,54.34143100000001,13.552315
Flensburg,54.780469999999994,9.43522
Kiel,54.322683584791406,10.135858482122499
Kiel,54.3226843669499,10.1358638465405
Hansestadt Lübeck,53.86956,10.68758
Lübeck,53.86956,10.68713
Neumünster,54.074040000000004,9.98453
Neumünster,54.07402,9.984511999999999
Dithmarschen,54.147436752136755,9.111395811965812
Albersdorf,54.144318999999996,9.284703
Arkebek,54.160343000000005,9.248884
Averlak,53.9404157919798,9.18355818681993
Bargenstedt,54.0928582831399,9.14927636427873
Barkenholm,54.2375297612527,9.17432792628352
Barlt,54.00761,9.05485
Bergewöhrden,54.3185725084857,9.2107603713328
Brickeln,54.00854216433721,9.22108787887367
Brunsbüttel,53.897863,9.128617
Buchholz,53.988560899646,9.22420527630123
Büsum,54.131280000000004,8.86236
Büsumer Deichhausen,54.13641,8.88819
Bunsoh,54.1643385813622,9.325005711561001
Burg (Dithmarschen),54.000347,9.258527
Busenwurth,54.038159217082004,9.04110522413804
Dellstedt,54.238015699962304,9.36912670875148
Delve,54.303790273944905,9.25210461164061
Diekhusen-Fahrstedt,53.9386537931351,9.0259316920546
Dingen,53.9577562994337,9.128844028642499
Dörpling,54.260708931503295,9.30188574040476
Eddelak,53.9459641812068,9.13729432814392
Eggstedt,54.05398569541511,9.25806160601902
Elpersbüttel,54.07122,9.04626
Epenwöhrden,54.11261999999999,9.0532
Fedderingen,54.2826805701412,9.131834969477671
Frestedt,54.024640000000005,9.17753
Friedrichsgabekoog,54.16263000000001,8.93788
Friedrichskoog,54.012130000000006,8.90226
Gaushorn,54.1947086510896,9.2232829346712
Glüsing,54.2737118317976,9.219364227300321
Großenrade,54.02169,9.22311
Groven,54.3002302605276,8.98868155820352
Gudendorf,54.0254003841051,9.10774269545628
Hägen,54.255759999999995,9.150780000000001
Hedwigenkoog,54.17816,8.841330000000001
Heide / Holstein,54.195730000000005,9.09109
Hellschen-Heringsand-Unterschaar,54.205380000000005,8.84581
Helse,53.9721663762121,9.01170994930538
Hemme,54.277969999999996,9.0086
Hemmingstedt,54.14771,9.072519999999999
Hennstedt / Dithmarschen,54.283126048600394,9.162131190853131
Hillgroven,54.21881,8.87466
Hochdonn,54.02627,9.275910000000001
Hövede,54.245057250074396,9.29315716171805
Hollingstedt bei Delve,54.2904634059054,9.22706551993433
Immenstedt bei Albersdorf,54.176535910852,9.29970510447578
Kaiser-Wilhelm-Koog,53.94287551895471,8.926465994050831
Karolinenkoog,54.30072,8.9678
Kleve,54.295526266465394,9.123377964453711
Krempel,54.3189,9.02875
Kronprinzenkoog,53.9714911507279,8.96161969595227
Krumstedt,54.069430000000004,9.17705
Kuden,53.968000470686796,9.19292736642632
Lehe,54.343790000000006,9.02545
Lieth,54.1545,9.06058
Linden,54.252359999999996,9.18142
Lohe-Rickelshof,54.1871,9.064630000000001
Lunden,54.3329120891624,9.0237369667053
Marne,53.95112749061689,9.00880578749451
Marnerdeich,53.9476074804811,8.99369891577038
Meldorf (Holstein),54.09195,9.06927
Neuenkirchen,54.23605,8.99007
Neufeld,53.907430711702204,9.01639107458863
Neufelderkoog,53.906748117309,8.96890994005474
Nindorf bei Meldorf,54.087709999999994,9.10317
Norddeich,54.21813,8.90007
Norderheistedt,54.24454,9.146410000000001
Norderwöhrden,54.19859,9.03232
Nordhastedt,54.172709999999995,9.1822
Odderade,54.13983,9.1905
Oesterdeichstrich,54.15919,8.89858
Offenbüttel,54.168904071094396,9.356921987181462
Osterrade,54.187327355604104,9.35273103559569
Ostrohe,54.214810444152,9.137088806872999
Pahlen,54.267722329200794,9.289903642182981
Quickborn,54.0116409355575,9.21656902723583
Ramhusen,53.949558518314,9.08320154838833
Rehm-Flehde-Bargen,54.30274,9.03695
Reinsbüttel,54.17742,8.915339999999999
Sankt Annen,54.3500100864308,9.083306146717051
Sankt Michaelisdonn,53.9876896001851,9.117055720022051
Sarzbüttel,54.1175713056604,9.184230241608551
Schafstedt,54.0798540473944,9.2937088343792
Schalkholz,54.2462679464539,9.25704658175055
Schlichting,54.3168789312225,9.09705683732573
Schmedeswurth,53.9262482259261,9.04012996547493
Schrum,54.185915602344,9.2518283441122
Schülp,54.24205,8.92995
Stelle-Wittenwurth,54.25338000000001,9.06222
Strübbel,54.26368000000001,8.968160000000001
Süderdeich,54.20061,8.90874
Süderhastedt,54.050369999999994,9.20955
Süderheistedt,54.236259999999994,9.14855
Wöhrden,54.166219999999996,8.9963
Tellingstedt,54.219978052745894,9.282764272337712
Tielenhemme,54.2687005383462,9.365975113158859
Trennewurth,54.00025426069261,9.03024870746407
Volsemenhusen,53.9693549681431,9.07000172727379
Wallen,54.286615332734,9.26941821034433
Warwerort,54.13887,8.92057
Weddingstedt,54.24119,9.08817
Welmbüttel,54.197477375836,9.245936201458731
Wennbüttel,54.138877232781,9.323496968990131
Wesselburen,54.2119,8.92084
Wesselburener Deichhausen,54.175619999999995,8.93801
Wesselburenerkoog,54.239740000000005,8.87695
Wesseln,54.20766999999999,9.075660000000001
Westerborstel,54.220193682448595,9.2604295178707
Westerdeichstrich,54.161319999999996,8.86023
Wiemerstedt,54.26781999999999,9.11235
Windbergen,54.0453,9.11905
